patient_id,owner_id,owner_name,pet_type,breed,patient_name,gender,patient_age,date_registration,owner_phone
dog_3199,8358,Adrian Molina PhD,Dog,Uknown,Ace,Male,11,2024-02-10,00447293674610
cat_1710,6082,Ashley Rodriguez,Cat,Uknown,Ivy,Female,6,2024-02-07,00447492424601
cat_6209,4638,Jason Franco,Cat,Uknown,Ivy,Female,20,2024-09-22,00447546595528
hamster_8492,5862,Cynthia Patterson,Hamster,Uknown,Leo,Male,3,2024-04-22,00447365342202
dog_6943,1932,Joseph Reyes,Dog,Uknown,Mia,Female,15,2024-07-18,00447949933575
hamster_3200,5652,Kathryn Smith,Hamster,Uknown,Max,Male,3,2024-08-24,00447991514598
cat_7963,7378,Philip Clark,Cat,Uknown,Max,Male,20,2024-12-16,00447167175757
dog_4071,4544,Douglas Rogers,Dog,Uknown,Rex,Male,6,2024-07-24,00447065703540
dog_12,9405,Dr. Brandon Galloway,Dog,Uknown,Zoe,Female,8,2024-09-09,00447700421511
dog_924,1121,Kenneth Harper,Dog,Uknown,Ace,Male,10,2024-09-18,00447467968329
dog_1115,8579,Alexander Moore,Dog,Uknown,Ace,Male,6,2024-05-24,00447594374256
cat_3528,9038,Jennifer Brown,Cat,Uknown,Boo,Male,11,2024-03-28,00447759695872
cat_1812,4654,Sandra Tucker,Cat,Uknown,Ivy,Female,15,2024-10-08,00447802675466
dog_4849,1387,Albert Hampton,Dog,Uknown,Leo,Male,13,2024-10-10,00447744198001
dog_7306,3199,Lori Mclean,Dog,Uknown,Max,Male,12,2024-06-02,00447310704848
hamster_5641,3543,Maurice Carroll,Hamster,Uknown,Mia,Female,1,2024-09-28,00447972313653
cat_728,5036,Cody Martin,Cat,Uknown,Bear,Male,13,2024-12-25,00447256100204
cat_6015,4417,John Keith,Cat,Uknown,Bear,Male,19,2024-03-06,00447480344258
hamster_7384,3531,Brandi Bryan,Hamster,Uknown,Buzz,Male,2,2024-09-10,00447883362478
dog_3784,3160,Jason Payne,Dog,Uknown,Bear,Male,7,2024-05-21,00447860328895
hamster_6507,3429,Randall Lewis,Hamster,Uknown,Buzz,Male,2,2024-09-25,00447676458894
cat_5208,1751,Joseph Lopez,Cat,Uknown,Cleo,Female,16,2024-07-02,00447648860577
cat_5450,3152,Michael Abbott,Cat,Uknown,Chip,Male,20,2024-08-19,00447133168890
hamster_4587,9085,Kristopher Conner,Hamster,Uknown,Dash,Male,1,2024-12-14,00447596726158
hamster_604,7205,Ivan Gardner,Hamster,Uknown,Dash,Male,1,2024-01-16,00447501841348
hamster_8448,6725,Roy Reyes,Hamster,Uknown,Dash,Male,3,2024-01-27,00447469906880
dog_4960,9258,Michael Short,Dog,Uknown,Duke,Male,12,2024-10-01,00447022247851
dog_5992,7133,Yvonne Grimes,Dog,Uknown,Finn,Male,8,2024-08-27,00447801455982
dog_2154,2470,Lauren Tran,Dog,Uknown,Finn,Male,4,2024-12-22,00447888144879
hamster_4799,8639,Roberto Benson,Hamster,Uknown,Gigi,Female,1,2024-10-27,00447130924584
cat_5216,3483,Ricky Bryant,Cat,Uknown,Juno,Female,2,2024-09-24,00447894974695
cat_9344,6939,Samuel Ray,Cat,Uknown,Juno,Female,13,2024-07-02,00447829891643
dog_1601,8349,Terry Phillips,Dog,Uknown,Lily,Female,12,2024-09-22,00447482564697
hamster_2842,1683,Anthony Hunt,Hamster,Uknown,Lily,Female,1,2024-02-29,00447518928878
dog_6859,6359,Annette Turner,Dog,Uknown,Lucy,Female,15,2024-09-14,00447806493302
hamster_1737,7562,Kevin Bishop,Hamster,Uknown,Lily,Female,2,2024-04-22,00447635204417
hamster_3522,5765,David Gill,Hamster,Uknown,Lily,Female,3,2024-07-18,00447075958714
hamster_5796,6070,Jordan Johnson,Hamster,Uknown,Lily,Female,3,2024-09-22,00447072955660
cat_3122,2393,Zachary Wilkins,Cat,Uknown,Lucy,Female,16,2024-04-06,00447024964586
hamster_8532,2559,Emily Gonzales,Hamster,Uknown,Milo,Male,1,2024-11-20,00447155890078
dog_8752,6059,Kristin Ryan,Dog,Uknown,Milo,Male,7,2024-02-10,00447198488981
hamster_912,4542,Aaron Day,Hamster,Uknown,Milo,Male,2,2024-09-24,00447334704142
hamster_4186,9125,Megan Pruitt,Hamster,Uknown,Milo,Male,2,2024-11-13,00447026779714
dog_4930,4771,Shawn Medina,Dog,Uknown,Nina,Female,9,2024-11-19,00447907775198
dog_1735,9427,Laura Williams,Dog,Uknown,Nina,Female,14,2024-02-24,00447528499396
dog_8988,5906,Raymond Jones,Dog,Uknown,Nina,Female,7,2024-09-26,00447328603428
hamster_5040,4690,Scott Barnes,Hamster,Uknown,Oreo,Male,3,2024-10-20,00447139855102
dog_2375,1986,Harold Pope,Dog,Uknown,Ruby,Female,13,2024-10-17,00447968751775
cat_8868,5506,Rachel Lee,Cat,Uknown,Ruby,Female,17,2024-05-19,00447022984245
cat_6483,7556,Haley Boyd,Cat,Uknown,Ruby,Female,18,2024-11-09,00447947127235
